id,tamil,english
0, Enna da ellam avan seyal  Mari iruku'," ""What's up, his actions have changed"" "
1, This movei is just like  ellam avan seyal',This Moai Is Just Like is all his doing' 
2, Padam vanthathum k dislike pottavaga yellam yea da dislike  pannom nu feel pannanum',"When the film comes out, we will put everything on the disc as if it were put on the disc.' "
3, Neraya neraya neraya  V era levelthala',Approximate Approximate Throwing Level' 
4, wow thavala sema masspadam oru pundaikum aagathu',Wow Davala sema mashapadam is not a bad thing' 
5, Andha  k unlike panavangaluku kolandha porakathu',That is not enough for the rich' 
6, Yaarellam frst like pottutu video paaka start paneengahit like',Anyone can start watching the video by giving a first like' 
7, Ethana padam vanthanu SALT AND PEPPER Mattum thanTHÃLÃ🤩🤩',Ethana padam vanthanu SALT AND PEPPER Mattum thanTHÃLÃ🤩🤩' 
8, Thala mass  Hvy sprt kerala Surya anna fans',Thala Mass Heavy Spirit Kerala Surya Anna Pals' 
9, Elam avan jayal movie  remake pa',Elam Awan Jayala Mowaye Remake p' 
10," Dhayavasenju indha padathula mass ila mayiru ila nu yevanum saavadikadheenga let him do such roles its healthy', ""Please don't use mass leaf in this movie. Let him do such rolls. It's healthy."" ",
11, vera lvl Thala sammaaaaaaaaaaaaaBgm sammaya iruku',vera lvl Thala sammaaaaaaaaaaaaaBgm sammaya iruku' 
12, Romba nal aparam ajith ah normal ah pakaran siva oda build up illama tharamana trailer',Long day then Ajith ah normal ah Bhakaran Siva OTA built quality trailer without UP' 
13, Nirav shah   Love u ma dear',Niravsh Love u dear' 
14, Padam hit nu nenaikkuravange like podunge  Naan pottutten',"If the movie is a hit, please like it, I posted it' "
15," Thevdiya pasangala intha trailer ku enna da kora evlo dislike uh punda mavanungalae', ""Devadia Pasangala What's wrong with this trailer?"" ",
16," Dislikes podura thevidiya kandara oooooooli pasangala', ""Devidia Kandhara's disliking song"" ",
17, Neenga viswasam ah irukkurathukku mathavangala yan asinga paduthuringaThalaVera level',The level at which you are lying madhavangala yan asinga because you are ah' 
18, Superb thala By thalapathy fan Naraya naraya naraya Vera vera vera um sink agudhu',Superb Thala Baya Thalapathy Pan Naraya Naraya Naraya Other Other Other Uma Sink' 
19, Last dialogue  epo ellam may epd than jalra taturaga',Last dialogue now everything is me how dana jalra taturaka' 
20, More than  times paathavanga mattum like pannunga',Only those who read More Thana Times should like it' 
21, Thala and yuvan bgm Epa dae',Thala and Yuen Bikum Eppa Te' 
22," Konjam purithu konjam puriyala But gud', ""I understand a little but I don't understand but good"" ",
23, Rangaraj pandey dummy piece   Thala munnadi',Rangaraj Pandey Dummy Bees Thala Munnadi' 
24, ennada setha ponam mari argue pandran',Ennada Chetta Panam Mary Argue Panaren' 
25, Gommala Thala da Verithanam',Bully-headed frenzy' 
26, Oru scene vachalum valuvaa irukuu trailer thala',The trailer is strong even with one scene' 
27, Wowww thala Ajith Kumar is awesome paaaaaaaaa',"Wow, Ajith Kumar is awesome' "
28," Neraya Neraya Neraya like varanum  thala rasiganda', ""It's almost delicious"" ",
29, Final touch thala mass ah soli irukapala  ketukonga da inimel aachum olunga irunga Ozm thrilling Trailer',FINAL TOUCH THALA MASS AAH LISTEN TO THE PRINT NOW BE OK OSM THRILLING TRAILER' 
30, after longtime i am watch my dear thalaapudi ellam nadakathu nadakka vittta maten',Abidare longiume e ama watch me dear title everything will not happen I will not be born to happen' 
31, Acting to nxt level of thala U maranabangam',ACTING TO NST LEVEL OP THALA U MARANABANGAM' 
32, thala thanta thalaiya minja evanta',There is nothing left over the head' 
33, Normal ah than iruku over ah laam illa expect panra aalavuku onum illa',"There is only normal ah, there is no over ah lam, there is nothing to do spect' "
34," Itha trailer Ku dislike pannuraven girls ku against ta irupan pola You mom also girl', ""I'm going to dislike the trailer like you're a girl against girls."" ",
35, Thala   verithanam  intha padam rapists ku marana serupadi kudukum',This film is a death knell for robbers' 
36, Thala fans for ravathanallur uthiramerur kanchipuram',Thala Pals War Ravadanallur Uttaramerur Kancheepuram' 
37, Aiyo enaku ipave thalaya padathula pakanumnu eruku',"Oh, I want to see Thalaya in the movie right now' "
38, Oruthar mela viswasam kaataruthukkaaga innoru thara yen asinga paduthiringa   To all fans',Why do you lie down another time to trust each other to all pals?' 
39, Yavan da sonna  NKP  Ku expection varadunu Thala daaaaaaa',Yavan said that the Nuff Ku Specktion will not come' 
40, Thalapathi fanBut dislike panna manasu varala',Thalapathy Panput Dislikke does not come to mind' 
41, What ah speech Thala Ajith Kumar',What ah speech by Ajith Kumar' 
42," Trailler pidikkadhavangalaam  like pannunga    expect panna alavukku trailer illa oknna like pannunga', ""Those who don't like the trailer please like it, if there is no trailer enough to spec please like it."" ",
43, Thala acting vera level nu solravanga like panunga',"Those who say that acting is on a different level, like it' "
44, THALA always masss Ippo sollava venum Y music vera level ah irukkum ',The music I want to say now is on a different level ah' 
45," Thala and yuvan like ha therika vidungada pasangalabgm vera level ', ""Don't let Thala and Yuen look like it"" ",
46," Now you are lying lying lying Thala mass', ""Now You're Lying Lying Lying Tala Mas"" ",
47, Usure mela poitu varuthu Thala ungala paakum pothu',When usury is going over and you are looking at it' 
48, Thala court scene marana mass dialogue delivery super duper hit',Thala court scene death mass dialogue delivery super duper hit' 
49, Thala  looking  mass',Head looking mass' 
50,  oh man Thala looking amazing',Same soil looking amazing' 
51, Thalaaa yuvan poramboku ena da bgm potu vechirka',Let each young person be warm' 
52, Adangappa semma tralier fight na innum thrikum 🤗🤗🤗',Adangappa semma tralier fight na innum thrikum 🤗🤗🤗' 
53, Ayioooo mudela da punda yanna detu padom purela da 🤔🤔',Ayioooo mudela da punda yanna detu padom purela da 🤔🤔' 
54, Hindi padam trailer patha maari iruku',Hindi movie trailer has changed course' 
55, Nadigar Ajith I kaanaa We are waiting',Actor Ajith E Khana VR Vidin' 
56," Idhu podhum thala idhu podhum thala aiyooooo sema thala nee', ""It's enough, it's enough, it's enough"" ",
57, Iam Vijay fan Trailer Vera levelsemaa Thala',Inam Vijay Bane Trailer Other Levelsema Thala' 
58, Ayyyoo thala pindriye thala Vera level dharisanan thala',"Sir, there is another level of darshan without hindrance' "
59, dislike panna terrorist ah adichu kollunga da',Hit the terrorist to dislikke' 
60," Amithap patchan acting ivaruku koncham kooda set agala  acting koncham change pannirukalam', ""Amitabh Bachchan's acting is a little too set for him, so the acting may have been a little too much"" ",
61, R u vergin vara level opening thala',R U Vergin Vara Level Opening Site' 
62, Social luku theva pada koodiya Padam',A film with Deva for social media' 
63, Ioooo iooo iooo ennanu solrathu thala nenga vera leval',Oooo ooo ooo what you say is on a different level' 
64, Thala ungaluku edu enai yevarum ellai tamil cinemavirke yendrum nengalthan chella pillai vera level thala nenga',"Take me to you, no one is the limit of Tamil cinema, you are the only child, you are a different level' "
65, Sigaramna Everestu Nadipunna Enga Thala Ajith kumaru',Ajith Kumar is the star of Everest acting' 
